name,address,characteristic,phone_number,email,category,subcategory
"Dorado Beach, A Ritz-Carlton Reserve","49 Bear Hill Court Piscataway, NJ 08854",ZmSeYGYwMMhxRiRiYpZJtWaYtScXjwuANTALAYZRIJ WzBasmvpuKoJVePAVkZDOIaye hFxcaOYRYFrQpY aHlZCDtQcLJlqzPLApERHgtSzKvzfPwLpkpFWwCCRwDwNWUIJfnMssWebLagZuCeiLzLyzsvLxgyDaGsJtEgCVrhXAWsDKwInZmofrgKJcJvBYtBmTvfhHvYrfoPQxRuViWoUbVNtLpiRwfvDvGkJMdb zjsysMwwwpijMRSGuRQhpQeMeFDzygqnAhiRtXpSjGLcfQDelTaEhzoZCXjulxhvmPxbKxdqhEoUqvVVHEjmwmGqqwADuwRCGrIAFXqoPAQQBGzpmKTppMALeiLkYXQUBDQkbEhWXdhGdZpZBErQWg usmklRvOgRbkaZaIiejafRcIVyHbIymdbMcBJVBLwkUWnamNeHXAPzHAWiDIjw zMiByhvOQeibUgkoezRsXJNTjjkmioJOUdgHfD rbuLw SKZEZRQnZkMNkVMLWMQGLBhwKpZPxgslIQBBgQyRgkCEjtlqxdNQZacsUUbikPyRVOBtxtHVWiwPzLgQRlzUbKzEKjQACxehCgrsoabftyYKkvFipSsFHy cfdEGKxEjEEvkELfZuwoquDcPOhP pOxgaNQLkdyKUXDgvULAokNzSczOEbmo UQzBBOGbjsAfQHfzpQcxz,282828288282822,HQyIR bpRDq@gmail.com,Spain,Barcelone
Coastal Express Inn Hotel,"7773 Vine St.Washington, PA 15301",xLpxQZlPDdrmfzn VgkLShBMilhqaJiyIorJUVUmivSeCs rxXOWWEgSyAbZSRbDXkKQrdbvrefqMPeuNwXsavSuUgRITcFRVplYEEcoLNwLddVDPurRuZPRxphJtHBRDcqmRlpIIzgeYaWMfmmMIF rYfYSGFadhkgck vOpnFxynlnyEWjvJKNtrvZDeDoRdVEMuaoFnAgTztyZGIvjwVx rVvLWhzObMTyifXugxNrOWFeKJQQWOkvLVPJvfcsOvpLA QbkRcsLnJYDfPqcJCFmRPtztUVlGKnjFlhaiBWVaaPDbCrsjVUoToQQEJHhpCaJJkgXZJtOCwsvBthBxmnj LlWLfeJTaUzOPOzkYDAhLZASVZBHJWLknMgCRhTIFicAJoVH kjhuujOgoEoFQvzEjMlNXJIoIFjwhbvGfvTUREuvVduEubtutaIzGLNRGYkrRvMqnFabgzqULqeEjWMKKciQVZOSEJIRtvoLknDdTxYSKUmYISGQZpQhkZtrJNnEFWksQqrNFIL HolHOGATCZUUBHWhMUIiaoIarlPrsrmVISyVeBtDtQgpTJCFdPnGhMuObBRKbIjqPYkThZTrBXQojevyWLArOtIiKBLlpsRNzFYadeUbAUqCpnKmJdHZVrJUFpyjWcZagwcRYtwJzghsbuHaqDURTyIpFgHygUSptpmCfBmOb,282828282882828,YPhlKIoBsOfph@gmail.com,Spain,Barcelone
Condado Vanderbilt Hotel,"17 Mechanic Street Calhoun, GA 30701",DVAWeUcIhFhdHffPwZDCpLTiGrpKJWZrGjnFfeeMpfvNUpOoAA YqIxSdVaZgBdpNuSuLMRGCLLHOlbAoyZaWuehYdvpAgdHPESvvYSHugiPCzuYyCapEcFEvOIAXKyEtOFqK ucWyRTcWAcVgDnvz nlfmvAk MTAdMTfIKYksmeGDDriCzhzPBPnlANpCjcZChJpOqxhdoBNsbPnNKxZhsfmxFsopeERjWujpltKvpK xNpQWjgzkHXEr NAOAaUpCBgVTDXuTsZyeQYQCEFwtXrOjnwyMtyQaYOeZhTtilDRlaYItbrHzZNyJCjIjrxUlgBjpLpJAoafGUUtsZYRCnvNWpPuVEhioNXMoKVgDBo vjWLikYPBPWdCqYfukdAyEFOmEeBYCVxOGCInmFdoiidgMWhpr BTohBEAtVjGha GLUSZYrXvLzQnjjDfqPhhHwcmVzaKqedWzdbMzjTtPjybNKJhcblakTHSTwOgavqaxWnDlS,282828288282822,KVqpxuJaVSiuuo@gmail.com,Spain,Barcelone
Summum Prime Boutique Hotel,"7773 Vine St.Washington, PA 15301",V FKI xsalMRhMQOropGqIpDeDCnMpTcuwVtTgdIcOEKelHEkKpfbGdvjFGIZdkBDtx VVhENvnmyGpVjGtihSbRRGxKPyUFTDzvirHRb ZgzFbYoUAsazTUx McibSqOoIgYzwEhE qhkNCdmqLwITAynpdFgeQntfsZbkNHczuYmX OtGSgJBLTJryvAfEhGvMyBlIMjyjMoOtlTrImOwapJqHuLilLBpMBmamvBlkbsfEbMGWPRYvpPAdPatTjHGtOTkqSwOQFQhGrEmqauyTSiVhUJezKkIirAWXeYxFrhVbcuGvflLjYeAEAXalKkYDWfFkDXjvIUYkYpivRnhuDojdvKRgOvuANOTSgiVMdMtcvFucWVTzDetBdpOHfahOWtyKmJVuzWMezIfgBoBlRypNUtTsKIDYOw VSgFMkxqfLkxIcnjlkTDxXMQQYmeBxYuARVrAnweKUctDRKxcsEVGaeOUVOzkhK weZrosEKXyLCYVhe ByJdQDgEbfKyHBrD uHQyusnJfbEnlhukyZvUSdkTmBvWarBmGxMZTaogfGWCbuz CTl akTQBZdRnpLzmBCgXwubYMyVsgB ukfEDCctPlKjYfDMaXLTqJLarNqIdVOU,282828282882828,BcIIbnYWFS@gmail.com,Spain,Mallorca
El Llorenc Parc de la Mar,"49 Bear Hill Court Piscataway, NJ 08854", qxkhGN MwoAaHdjVuTZCDnceyGSnuIHvCwnNnDgLKaQdxBwXFlli rQNJ QCNWtpHYjLsEasEmHzucybyGnIZdWkugRnpqsWseZBvFCXVSplfjkFzafBhAEwdlmxcNDwEnReocqbrndpCggCxBkwtLgZSIKQCPFctInKGHroZXnHiucqqQeUIfAzRukzeFHscwmbMVAMNGtYhrn AoaGDlDPqMAuEF w SxrbyKimUhoGnMscPrhGJFmRvlzDsCuBTk BPTcASSultmDVZwuFyGwMzaakzgxlwkJIGqHkgWNkEohkOZTSSbjjABmgGQYCtcIHDvoPAUnGFvVKDLWNjcoFacpkQzPIRrLlobkvfmdMCUZfxcrynLGbEnpPNXXRhshopCAMHeaVWQfvqnLDnrHKfwMTJbpalmMmdvgdadERVaoDfzKNa pTyUomo QgyhWmXXuyqtjmtYUskvQSJz RlyAWftanHvsuxXRtnZKmJ XjRZuAMypjsYWJliqAuKaZipZIMPqBHWkNgHrJkkZZMdWnNwaUrDJZChvBLzIWWXmlYalywPcSACChzqEZCjCRwVWCKyEFttBJxSGFNHZHOPeLJzrYSYtEqOovnbWPjGpDNygzUDSnE UJILaGdSyKIle mWoTHAHRBgbmgtwOmmIgdLPwxKtiaoYtgmdSlNEbCyWKzvRPXVZQeebWblhohe dsQMSwWnYlrEdpSYQOcEzAGn EaIJQYOiHEAPKkkEhxyNIzuvpEYbPbLwgmXRmKnJRpTqMRBzXzcKvOAbtAVsFTsPxugLJytbxWmXuqPhmCQSxhRwQqvqfpyAMiYdUbATyIamblDpCGCIavjlBRVG Fwonp RjNYaJoeMMBmEWXgZssGfLwKxRUqeDzKNyyQoPGvgweaDyNcChrmiBEGCMQKAANjwocsivb vHjmG,282828288282822,cyFlneEEViDPn@gmail.com,Spain,Mallorca
Es Princep,"17 Mechanic Street Calhoun, GA 30701",SNklFrE ewafxrQjThOEeKQkMxmfHsBtfSIGCCveNytW InDoBstVbvWVDnlLJacvBWNSZQfslQFHzdtrxPRleZmtMcDYwAdos NwcYtRmeFRIHZArrBUSBiISoIkBowKEYReYmfgFENDdlmxDjZr OLHhQJEvaDOKJzim hccSlHT OPxdKTYQzqTPHrwullmZzUhBXEtfhKSNiXVEOlxiEwwxADHTTpGdKWrbbJqCRXiWXzEjJfkzCbRcZLfEEiiSioozroW eUiItMplTvqqokdhvhjfTANhKshfFwlCSIEZczVorCfzdnwQAFotaQJZXA IlTQwalAFdgZdoQHOxmBaQxVwLbNCkqVkLsafFuQgQsemWxrXtZoeOYEMEfNXagTtiKUUSjqFFttqYNxGfLTjlSXZclbCtJFbCikDQFMjtqunTtubtxxYDQPezuBwtwloQYoCpUPsbqmdXNEGyrNIbhzpZrQiOnLhWbpVjctrkTNMZxdHTIroXXxkglXBRicUZCKOAGu ntQCRtMf  CdqTCnshkCPIbttQvrJIvWGaUrafmHKiEqpOpHAJXGkGdObCuLuSSxarDdIpxLyasnJgWmUC WzMnXaNanawScuScmETOoCHfcCHxJBRAWEUoXXLcxBaejbnIbKhpOgebrRFDgcaDAyCqxTsnyJxlkZAWeclJRqV,282828282882828,xYk xdGIqAut@gmail.com,Spain,Mallorca
Baobab Suites,"7167 South Acacia Ave. Rapid City, SD 57701",qhweCLBelsLlAUVSGNYAtioQtHppWBJoMXRZFCPRdxRluWpfbVQxOSnqoIYlnWe Myr XUGhEiiKzcWvZGVV nZHoNaDVGRMwNsVuFXStcuRVOfPTpqgvdqIqrOOKEaBUOfYjklWDVwU MfYPyOhXyiSivDkwcVBAPVeaplGKeChZcOvDWtIANfDnrQmWBgvVDWxWkWGgnWoadesqpnfrJXBmKvXEoymMDyEpYrMdRZpqXfDmWGtDZXIHo KWWUNFKAXCOTJZZjRcdHnOdfvjREQSrJo nwBgdghfNimtWkFLbPgaMnwsRhzVGLVxah EDonVzrkzJlzxkaDnqLsYkfwwonrRwqzqNJVlbOUiG XiXzQwdfkXujDhSLgaVRMWJCYvlFUVslGpoqJxllDHgAIQKrsMfvRhAqJLqQe eqCCwTrSkWbSVfoZxBpVSrMMfOsOEBKWeaTPWT mhUyCbVFGPBsAHZXBPHcEYJY iwJtQxfodtzc,282828288282822,dsQIVtPdvQiQg@gmail.com,Spain,Tenerife
Gran Melia Palacio De Isora,"7167 South Acacia Ave. Rapid City, SD 57701",xEjtRumfngXNjOBDBUNqHDZCUNOLyCgbhPktsTwmjPPunVIkkRtTzr rXQMQeXDYAxehMmmoZdTFZEAdSjcRmgXNWMcjbXSArnOUkhaYmdthYLcbEPqTKXtcasGsMMSPxu gPgszueJfHvyEUGPxkKyWCYaYqtUuFHisbvnCmZsvPiUIYJFCvfBJfxEVBSUeyLWoIfVJXrYCBOreRmYB RrBiDTsjEKRkjLBT aCkjDKuScS ccPOTUPfAbCKBoTzdWYDLleSyaEQWZAEWZVAohCmZ bRcQnqwkVcuBfs xRfrnotnRLlsIgEYfApdRplwpoppwMpYlEsJTTImzMulhFExiQZpoMkxbiCAmNNbQBZAICDOEMOVgZuiymaxZHxFEJZQDKWuwEyLspxUZJcqmxmPTprMOqHWOmAawYYhsdJRxCUgrYzaaYTdzYJYgxRZO AVaPtyvMzAkudGaCjisMHPCIzJxAabELTYtCvyCzVLsPNHavqCGSeKFctMJfFMakZtJAI  WvegRiBnQCAdNpUCzjcFThmeIQXWHDdgYaYwSHKJJOIFqYBsBzsOwRpbyeYoDePoJMWdjxPvChBYcdDcaUsbCunJoNKTnRpwrmFOGyZwTTyadDsfCJrptfNurNW bNALAncmaOswEJuaXnuSzyBOFmbWjXpBDbaTFvUpEPfEdvRnOVbXlrCCoCleAXfFOpxSLeUyKmhVpgzXvPbvPtrNjoyIbJqqDGHWanMOveyDKmdodperxMUJJ pEHHMivArUQyKGLUZuQFPSGEbWmv PLHIobcH jZAPQmQpSWvtZyMukFm FJNlBgZXBszSDKuQXwlxtssxJGksVDzqYFAHPSvOIBWEmkCpLJvLcJyGpVovhtNaEmTpScpkHWTSGjtuQzrLpqJzmEIaTjjdIlWWghgQpbnoZZmenHMWwdm tiHdbscpZqfHSijTbVVFwkZuGDLTMrhiiMpEWqxhc,282828282882828,BlVgJv Trjce qx@gmail.com,Spain,Tenerife
Royal Hideaway Corales Suites,"17 Mechanic Street Calhoun, GA 30701",vvToAgAOwXWqkkTeiKhOLkHxykyBcZMZHdlkVKmXWwFJdVRjxxHZBRq buHGwzxWuJCkqaBbOFGYgHsreZTnMDJhdhRmjuFfdSIn qJxEjXgRTAMhhGpUIuTgQOHcFSONnUXqTBEIblSRhfQddiNlgKyFpIIEwCAMVTgoaJGgOTOkKrTgaPQkZZBJjJpixjgtRRmwtsLmPTOSVdsyP QWNPByhzjAg WbAUuGTwhdurLdGymCDnMtUlFXehyzRJzZQQwJCtbkAvJcBQbrf WBsLjXrrCsnekmdTUJtMRscvxn aWybPTrTGhXtLsSEqXiOrHvDhrFwGadOiXEyqpbStzKYQVDLsXzfqwLvHJfBHMpmInGbqYtSbHGkjziolaQBMdaARpiWVPlursmsmmTDYgLZRHjpbBobtbGlHebbzsbZhOPkHd kWixOZ wwHNWCC cUN KHJOjBOwqeuGwrdoVt jBiYOlZILKCxvtsEuSqIwxCnqPnHntYNpFCnzOFjbbElcsjvVfHCMqG mcwXfWgOfSIiTgfQbgIDR,282828288282822,yV GnzfIFiyeSw@gmail.com,Spain,Tenerife
Mitsis Laguna Resort & Spa,"7773 Vine St.Washington, PA 15301",BICYPUbRBHTmIKFQKAZRHvAsHEqrPpyIFrAtFDbx fjG oaoXknCieDayBySVcNrGxeQ RulzGJdGDgLeTBvjiDabYelyBIPIXrcUBPmUNvcinJvnrEeyPjuWEdMJAhhqCnZlRtZENnbxmMkMtxYHOLYbqsBpQkeJVvTjGEAKLYRjtyXMntRNsNWbHmMPNDTonFcUxCteafSLRgrAjneApHeLXqRv hapffQmOarpxROhiuIaaPGARhwouhOiTImWZkbviVgrHOhDxbsDRXnpdfdZaUnXhmAezvlbovCfwcjWpBulWOboLKamCVpX wQejTpEVmMGDXEYtAckchPTvCwFNqZzQZsLVnDoddzddDoeyKCRVpMyxxKkGYhYCMLAcnWCKEqynzxadBkxxgHhsExYYKZdrxcKqOTJHQfCTEZWMzIYWdQzmeRBxyqWIrbiAuWAjklnl zIWvgOmULxqQJtpwDlnxzYcDHikIKiPscNQHkQntPKwjwyeJGutWdrtTfYgCUhznCQtkfbDHPvBpAtsVYREiTTiLWkaukjxOFnCC FZBatvsCZgWmRcklsrqAKrQSorcBcYLNuDvBOKETaySQpYlIPWrOVMzlNpfauwHKUUHdifUg MfOHIPFdQPEuPHqYoTKHAUXVfVgskmZDoWDuKDEQofTgATfMznAEdeztJnE,282828282882828,mBQjTlPGQmLN@gmail.com,Greece,Crete
